what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1550164146240
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1550164159497
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1550164174616
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1550164174686
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1550164175870
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1550164177439
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1550164177627
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1550164190530
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1550164191981
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1550164199657
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1550164202157
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1550164205193
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1550164217986
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1550164218067
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1550164218136
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1550164219659
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1550164233421
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1550164235288
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1550164243885
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1550164253451
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1550164255967
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1550164259200
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1550164281295
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1550164281432
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1550164289640
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1550164291076
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1550164291087
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1550164291820
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1550164292702
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1550164294637
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1550164296164
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1550164297506
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1550164301000
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1550164308048
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1550164309788
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1550164313977
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1550164361837
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1550164361969
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1550164398525
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1550164498092
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1550164499029
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1550164501696
error,log,,,"Internal Error",1550164503322
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1550164514954
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1550164522679
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1550164667775
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1550164695855
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1550164702945
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1550164706271
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1550164732331
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1550164732335
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1550164732342
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1550164736442
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1550164741088
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1550164757402
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1550164757614
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1550164757723
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1550164764157
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1550164819305
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1550164820455
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1550164825767
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1550164831868
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1550164833019
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1550164842406
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1550164842575
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1550164855767
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1550164855904
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1550164861254
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1550164862024
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1550164866290
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1550164866648
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1550164867378
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1550164867877
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1550164874751
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1550164881894
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1550164882366
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1550164882581
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1550164889208
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1550164889378
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1550164889425
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1550164892448
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1550164897367
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1550164897938
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1550164898126
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1550164898273
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1550164902887
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1550164906259
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1550164911874
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1550164933646
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1550164935037
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1550164935050
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1550164954932
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1550164958328
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1550164959525
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1550164961398
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1550164967686
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1550164972515
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1550164974223
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1550164974235
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1550164977040
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1550164979446
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1550164979458
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1550164983643
